Region;Appellation;Domaine;Nom;Millesime;Quantite;Flacon;Meuble;Position;Couleur;Type;Cepage;Mets et vins;Note;A consommer avant;Fournisseur;Commentaires
Languedoc-Roussillon;Pic Saint Loup;;;2016;1;75cl;C;13;Rouge;Tranquille;;;3;;Cadeau;
Bourgogne;Macon;;;2016;1;75cl;C;9;Rouge;Tranquille;;;3;;;
Rhone;Crozes Hermitage;Emmanuel Darnaud;;2010;1;75cl;C;5;Rouge;Tranquille;;;4;;;
Rhone;Crozes Hermitage;Le Coteau de la Baume;;2018;1;75cl;C;5;Rouge;Tranquille;;;4;;;
Rhone;Gigondas;Le Vieux Clocher;;2018;1;75cl;C;4;Rouge;Tranquille;;;3;;;
Bourgogne;Marsannay;;;2018;1;75cl;C;9;Rouge;Tranquille;;;3;;;
Bourgogne;Pommard;Domaine denis Fouquerand;;2018;1;75cl;C;9;Rouge;Tranquille;;;5;;;
Bourgogne;Fixin 1er Cru;Domaine Clevencey;;2017;1;75cl;C;9;Rouge;Tranquille;;;4;;;
Bourgogne;Auxey Duresse 1er Cru;Domaine Roy;;2016;1;75cl;C;9;Rouge;Tranquille;;;3;;;
Bourgogne;Chassagne Montrache 1er Cru;Abbaye de Morget;;2013;1;75cl;C;8;Rouge;Tranquille;;;2;;;
Bourgogne;Monthely;;;2011;2;75cl;C;6;Rouge;Tranquille;;;3;;;sans etiquette
Bourgogne;Beaune;;;2011;1;75cl;C;6;Rouge;Tranquille;;;3;;;sans etiquette
Bourgogne;Pommard;;;2011;2;75cl;C;6;Rouge;Tranquille;;;3;;;sans etiquette
Bourgogne;Bourgogne;Cave de Lugny;La Part des Anges;2007;1;75cl;C;7;Rouge;Tranquille;Pinot Noir;;3;;Francis;
Bourgogne;Bourgogne;Cave de Lugny;La Part des Anges;2017;5;75cl;C;7;Rouge;Tranquille;Pinot Noir;;3;;Francis;
Bourgogne;Bourgogne;;;2018;2;75cl;D;10;Rose;Tranquille;Pinot Noir;;3;;;
Rhone;Crozes Hermitage;Vieux Clocher;;2020;3;75cl;C;5;Rouge;Tranquille;;;4;;Moi;
Rhone;Gigondas;Tourbillon;;2017;3;75cl;C;4;Rouge;Tranquille;;;5;;Moi;
Rhone;Chateuneuf du Pape;Tourbillon;;2019;3;75cl;C;3;Rouge;Tranquille;;;5;;Moi;
Rhone;Cotes du Forez;;;2010;1;75cl;;;Rouge;Tranquille;;;2;;Cadeau;
Provence;Cotes de Provence;Coop. de Carces;Lou Neitar;2019;1;75cl;C;14;Rouge;Tranquille;;;3;;Moi;
Provence;Cotes de Provence;Chateau Sainte Croix;Saint Pierre;2018;1;75cl;C;14;Rouge;Tranquille;;;4;;Moi;
Loire;Ile de Re;;;2017;1;75cl;C;17;Rouge;Tranquille;;;3;;Cadeau de Kilian;
Loire;Anjou;;;2014;1;75cl;C;17;Rouge;Tranquille;;;3;;;
Loire;Bourgueil;;;2001;3;75cl;C;16;Rouge;Tranquille;;Vin de cuisson cuisine;2;;;
Loire;Nicolas de Bourgueil;;;?;3;75cl;C;15;Rouge;Tranquille;;Vin de cuisson cuisine;2;;;
